species,month,month_name,median_daily_km,normalised
Barn Swallow,1,Jan,0.0,0.0
Barn Swallow,2,Feb,0.0,0.0
Barn Swallow,3,Mar,1.0,3.0
Barn Swallow,4,Apr,0.0,0.0
Barn Swallow,5,May,0.0,0.0
Barn Swallow,6,Jun,0.0,0.0
Barn Swallow,7,Jul,0.0,0.0
Barn Swallow,8,Aug,0.0,0.0
Barn Swallow,9,Sep,0.0,0.0
Barn Swallow,10,Oct,33.8,100.0
Barn Swallow,11,Nov,0.0,0.0
Barn Swallow,12,Dec,0.0,0.0
Grey Plover,1,Jan,15.0,16.2
Grey Plover,2,Feb,15.0,16.2
Grey Plover,3,Mar,29.8,32.3
Grey Plover,4,Apr,33.2,35.9
Grey Plover,5,May,39.0,42.2
Grey Plover,6,Jun,92.4,100.0
Grey Plover,7,Jul,69.9,75.6
Grey Plover,8,Aug,52.0,56.3
Grey Plover,9,Sep,28.4,30.7
Grey Plover,10,Oct,18.3,19.8
Grey Plover,11,Nov,15.8,17.1
Grey Plover,12,Dec,9.3,10.1
Red Knot,1,Jan,0.0,0.0
Red Knot,2,Feb,0.0,0.0
Red Knot,3,Mar,5039.4,100.0
Red Knot,4,Apr,3994.4,79.3
Red Knot,5,May,2050.6,40.7
Red Knot,6,Jun,3432.9,68.1
Red Knot,7,Jul,1315.9,26.1
Red Knot,8,Aug,1504.5,29.9
Red Knot,9,Sep,2513.5,49.9
Red Knot,10,Oct,2273.2,45.1
Red Knot,11,Nov,1560.4,31.0
Red Knot,12,Dec,0.0,0.0
Upland Sandpiper,1,Jan,10.1,0.4
Upland Sandpiper,2,Feb,15.7,0.6
Upland Sandpiper,3,Mar,1.2,0.0
Upland Sandpiper,4,Apr,2635.9,100.0
Upland Sandpiper,5,May,0.0,0.0
Upland Sandpiper,6,Jun,0.0,0.0
Upland Sandpiper,7,Jul,406.6,15.4
Upland Sandpiper,8,Aug,319.1,12.1
Upland Sandpiper,9,Sep,1.5,0.1
Upland Sandpiper,10,Oct,270.0,10.2
Upland Sandpiper,11,Nov,0.8,0.0
Upland Sandpiper,12,Dec,2.4,0.1
